0,1
-orderly_chaotic,+orderly_chaotic
+scandalous_proper,-scandalous_proper
+impulsive_cautious,-impulsive_cautious
-on-time_tardy,+on-time_tardy
+junkie_straight-edge,-junkie_straight-edge
-scheduled_spontaneous,+scheduled_spontaneous
+mischievous_well-behaved,-mischievous_well-behaved
+indulgent_sober,-indulgent_sober
-works-hard_plays-hard,+works-hard_plays-hard
+inappropriate_seemly,-inappropriate_seemly
+wild_tame,-wild_tame
