category,pct_change
Sugar_and_sweets,4.588235294117647
Fresh_fruits,4.576470588235294
Cereals_and_bakery_products,4.32156862745098
Food_away_from_home,4.2784313725490195
Fresh_fruits_and_vegetables,4.268627450980392
Fish_and_seafood,4.250980392156863
Nonalcoholic_beverages,4.23921568627451
Beef_and_veal,4.078431372549019
Fruits_and_vegetables,4.076470588235294
Fresh_vegetables,4.072549019607843
Fats_and_oils,4.06078431372549
All_food,3.8823529411764706
Other_foods,3.864705882352941
Food_at_home,3.682352941176471
Meats,3.519607843137255
Meats_poultry_and_fish,3.458823529411765
Dairy_products,3.3901960784313725
Other_meats,3.270588235294118
Eggs,3.2254901960784315
Pork,3.0098039215686274
Poultry,2.8490196078431373
Processed_fruits_and_vegetables,2.723076923076923
