category,pct_change
Eggs,10.696875116355335
Sugar_and_sweets,8.731841662761036
Nonalcoholic_beverages,8.114507463336823
Fats_and_oils,7.371704780615474
Beef_and_veal,5.89166576531596
Pork,5.629573870266232
Fresh_fruits,5.314718740828874
Cereals_and_bakery_products,5.037908840997034
Fresh_vegetables,4.717078690519061
Meats,4.407040712670721
Dairy_products,4.29847670236612
Fresh_fruits_and_vegetables,4.078013741814926
Other_foods,4.033500887785288
Poultry,4.014342912558398
Other_meats,3.7735020401556456
Fish_and_seafood,3.756826988245245
Fruits_and_vegetables,3.7307687269673595
Meats_poultry_and_fish,3.7228041297166428
Processed_fruits_and_vegetables,3.25899465385357
Food_at_home,3.2325040375753864
All_food,2.886500017831487
Food_away_from_home,2.6442627498408844
