CPI_top5_full,CPI_full_mean,PPI_top5_full,PPI_full_mean,CPI_top5_recent,CPI_recent_mean,PPI_top5_recent,PPI_recent_mean
Sugar_and_sweets,4.588235294117647,Farm_level_eggs,6.53469387755102,Beef_and_veal,4.395238095238095,Farm_level_eggs,13.176190476190476
Fresh_fruits,4.576470588235294,Wholesale_fats_and_oils,4.131372549019607,Eggs,4.3047619047619055,Farm_level_wheat,5.128571428571428
Cereals_and_bakery_products,4.32156862745098,Farm_level_milk,3.476470588235294,Fats_and_oils,3.5190476190476194,Farm_level_milk,4.9142857142857155
Food_away_from_home,4.2784313725490195,Farm_level_vegetables,3.450980392156863,Food_away_from_home,3.423809523809524,Wholesale_fats_and_oils,4.890476190476191
Fresh_fruits_and_vegetables,4.268627450980392,Wholesale_beef,3.4098039215686278,Meats,3.3761904761904766,Farm_level_vegetables,4.747619047619047
