category,pct_change
Beef_and_veal,4.395238095238095
Eggs,4.3047619047619055
Fats_and_oils,3.5190476190476194
Food_away_from_home,3.423809523809524
Meats,3.3761904761904766
Meats_poultry_and_fish,3.223809523809524
Fish_and_seafood,2.9761904761904763
All_food,2.9571428571428573
Poultry,2.9333333333333336
Sugar_and_sweets,2.842857142857143
Processed_fruits_and_vegetables,2.8333333333333335
Cereals_and_bakery_products,2.776190476190476
Other_meats,2.7285714285714286
Food_at_home,2.619047619047619
Pork,2.395238095238095
Dairy_products,2.3476190476190477
Other_foods,2.3142857142857145
Nonalcoholic_beverages,2.223809523809524
Fruits_and_vegetables,2.1666666666666665
Fresh_vegetables,2.057142857142857
Fresh_fruits_and_vegetables,1.9761904761904763
Fresh_fruits,1.9047619047619047
