PPI_top5_full,PPI_full_mean,PPI_top5_recent,PPI_recent_mean
Farm_level_eggs,6.53469387755102,Farm_level_eggs,13.176190476190476
Wholesale_fats_and_oils,4.131372549019607,Farm_level_wheat,5.128571428571428
Farm_level_milk,3.476470588235294,Farm_level_milk,4.9142857142857155
Farm_level_vegetables,3.450980392156863,Wholesale_fats_and_oils,4.890476190476191
Wholesale_beef,3.4098039215686278,Farm_level_vegetables,4.747619047619047
